2018-01-19 03:31:08 status unpacked libtinfo5:armhf 5.9+20140913-1+deb8u2
2018-01-19 03:31:08 status unpacked libtinfo5:armhf 5.9+20140913-1+deb8u2
2018-01-19 03:31:08 install ncurses-base:all <none> 5.9+20140913-1+deb8u2
2018-01-19 03:31:08 status half-installed ncurses-base:all 5.9+20140913-1+deb8u2
2018-01-19 03:31:08 status unpacked ncurses-base:all 5.9+20140913-1+deb8u2
2018-01-19 03:31:08 status unpacked ncurses-base:all 5.9+20140913-1+deb8u2
2018-01-19 03:31:09 install ncurses-bin:armhf <none> 5.9+20140913-1+deb8u2
2018-01-19 03:31:09 status half-installed ncurses-bin:armhf 5.9+20140913-1+deb8u2
2018-01-19 03:31:09 status unpacked ncurses-bin:armhf 5.9+20140913-1+deb8u2
2018-01-19 03:31:09 status unpacked ncurses-bin:armhf 5.9+20140913-1+deb8u2
2018-01-19 03:31:09 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:09 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:10 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:10 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2018-01-19 03:31:11 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2018-01-19 03:31:11 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2018-01-19 03:31:11 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2018-01-19 03:31:11 install libpam0g:armhf <none> 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 status half-installed libpam0g:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:11 status unpacked libpam0g:armhf 1.1.8-3.1+deb8u2+b1
2018-01-19 03:31:12 install libpcre3:armhf <none> 2:8.35-3.3+deb8u4
2018-01-19 03:31:12 status half-installed libpcre3:armhf 2:8.35-3.3+deb8u4
2018-01-19 03:31:12 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2018-01-19 03:31:12 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2018-01-19 03:31:12 upgrade perl-base:armhf 5.20.2-3+deb8u9 5.20.2-3+deb8u9
2018-01-19 03:31:12 status half-configured perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:31:12 status unpacked perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:31:12 status half-installed perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:31:15 status half-installed perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:31:15 status unpacked perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:31:15 status unpacked perl-base:armhf 5.20.2-3+deb8u9
2018-01-19 03:31:15 install libprocps3:armhf <none> 2:3.3.9-9
2018-01-19 03:31:15 status half-installed libprocps3:armhf 2:3.3.9-9
2018-01-19 03:31:15 status unpacked libprocps3:armhf 2:3.3.9-9
2018-01-19 03:31:15 status unpacked libprocps3:armhf 2:3.3.9-9
2018-01-19 03:31:15 install procps:armhf <none> 2:3.3.9-9
2018-01-19 03:31:15 status half-installed procps:armhf 2:3.3.9-9
2018-01-19 03:31:16 status unpacked procps:armhf 2:3.3.9-9
2018-01-19 03:31:16 status unpacked procps:armhf 2:3.3.9-9
2018-01-19 03:31:16 install sed:armhf <none> 4.2.2-4+deb8u1
2018-01-19 03:31:16 status half-installed sed:armhf 4.2.2-4+deb8u1
2018-01-19 03:31:16 status unpacked sed:armhf 4.2.2-4+deb8u1
2018-01-19 03:31:16 status unpacked sed:armhf 4.2.2-4+deb8u1
2018-01-19 03:31:17 install sensible-utils:all <none> 0.0.9
2018-01-19 03:31:17 status half-installed sensible-utils:all 0.0.9
2018-01-19 03:31:17 status unpacked sensible-utils:all 0.0.9
2018-01-19 03:31:17 status unpacked sensible-utils:all 0.0.9
2018-01-19 03:31:17 install login:armhf <none> 1:4.2-3+deb8u4
2018-01-19 03:31:17 status half-installed login:armhf 1:4.2-3+deb8u4
