2016-05-26 06:07:57 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-05-26 06:07:57 install libselinux1:armhf <none> 2.3-2
2016-05-26 06:07:57 status half-installed libselinux1:armhf 2.3-2
2016-05-26 06:07:58 status unpacked libselinux1:armhf 2.3-2
2016-05-26 06:07:58 status unpacked libselinux1:armhf 2.3-2
2016-05-26 06:07:58 install libsemanage-common:all <none> 2.3-1
2016-05-26 06:07:58 status half-installed libsemanage-common:all 2.3-1
2016-05-26 06:07:58 status unpacked libsemanage-common:all 2.3-1
2016-05-26 06:07:58 status unpacked libsemanage-common:all 2.3-1
2016-05-26 06:07:58 install libsemanage1:armhf <none> 2.3-1+b1
2016-05-26 06:07:58 status half-installed libsemanage1:armhf 2.3-1+b1
2016-05-26 06:07:58 status unpacked libsemanage1:armhf 2.3-1+b1
2016-05-26 06:07:58 status unpacked libsemanage1:armhf 2.3-1+b1
2016-05-26 06:07:58 install libsepol1:armhf <none> 2.3-2
2016-05-26 06:07:58 status half-installed libsepol1:armhf 2.3-2
2016-05-26 06:07:58 status unpacked libsepol1:armhf 2.3-2
2016-05-26 06:07:58 status unpacked libsepol1:armhf 2.3-2
2016-05-26 06:07:58 install libtext-charwidth-perl:armhf <none> 0.04-7+b4
2016-05-26 06:07:58 status half-installed libtext-charwidth-perl:armhf 0.04-7+b4
2016-05-26 06:07:58 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2016-05-26 06:07:58 status unpacked libtext-charwidth-perl:armhf 0.04-7+b4
2016-05-26 06:07:58 install libtext-iconv-perl:armhf <none> 1.7-5+b2
2016-05-26 06:07:58 status half-installed libtext-iconv-perl:armhf 1.7-5+b2
2016-05-26 06:07:58 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2016-05-26 06:07:58 status unpacked libtext-iconv-perl:armhf 1.7-5+b2
2016-05-26 06:07:58 install libtext-wrapi18n-perl:all <none> 0.06-7
2016-05-26 06:07:58 status half-installed libtext-wrapi18n-perl:all 0.06-7
2016-05-26 06:07:58 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-05-26 06:07:58 status unpacked libtext-wrapi18n-perl:all 0.06-7
2016-05-26 06:07:58 install lsb-base:all <none> 4.1+Debian13+nmu1
2016-05-26 06:07:58 status half-installed lsb-base:all 4.1+Debian13+nmu1
2016-05-26 06:07:58 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-05-26 06:07:58 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-05-26 06:07:58 install dmsetup:armhf <none> 2:1.02.90-2.2
2016-05-26 06:07:58 status half-installed dmsetup:armhf 2:1.02.90-2.2
2016-05-26 06:07:59 status unpacked dmsetup:armhf 2:1.02.90-2.2
2016-05-26 06:07:59 status unpacked dmsetup:armhf 2:1.02.90-2.2
2016-05-26 06:07:59 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2
2016-05-26 06:07:59 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-05-26 06:07:59 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-05-26 06:07:59 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-05-26 06:07:59 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2016-05-26 06:07:59 status half-configured mawk:armhf 1.3.3-17
2016-05-26 06:07:59 status unpacked mawk:armhf 1.3.3-17
2016-05-26 06:07:59 status half-installed mawk:armhf 1.3.3-17
2016-05-26 06:07:59 status half-installed mawk:armhf 1.3.3-17
2016-05-26 06:07:59 status unpacked mawk:armhf 1.3.3-17
2016-05-26 06:07:59 status unpacked mawk:armhf 1.3.3-17
2016-05-26 06:07:59 install libncurses5:armhf <none> 5.9+20140913-1+b1
2016-05-26 06:07:59 status half-installed libncurses5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2016-05-26 06:07:59 install libncursesw5:armhf <none> 5.9+20140913-1+b1
